"co_seq_id";"nu_apid";"no_nm"
126764;@brasil17302729384;Mucosolvan 7,5 mg/mL solução oral
126766;@brasil37750488785;Fluibron 7,5 mg/mL solução oral
126768;@brasil38855709177;Anemifer 10 mg/mL xarope
126769;@brasil70918585622;Lomfer 10 mg/mL xarope
126770;@brasil38257818283;Flomicin 100 cápsula
126771;@brasil72861651168;Advantan 1 mg/g creme
126773;@brasil44808402710;Dalmadorm 30 mg comprimido
126774;@brasil78793247039;Mud 1 mg/g + 2,5 mg/g + 0,25 mg/g + 100.000 unidades internacionais/g pomada
126775;@brasil60471002288;Acetonida de Triancinolona 1 mg/g + Sulfato de Neomicina 2,5 mg/g + Gramicidina 0,25 mg/g + Nistatina 100.000 unidades internacionais/g pomada
126778;@brasil51384342037;Oncibel 1 mg/g + 2,5 mg/g + 0,25 mg/g + 100.000 unidades internacionais/g pomada
126782;@brasil25069368455;Triancinolona Acetonida 1 mg/g + Sulfato de Neomicina 2,5 mg/g + Gramicidina 0,25 mg/g + Nistatina 100.000 unidades internacionais/g pomada
126784;@brasil33769375827;Triancinolona Acetonida 1 mg/g + Sulfato de Neomicina 2,5 mg/g + Gramicidina 0,25 mg/g + Nistatina 100.000 unidades internacionais/g pomada
126785;@brasil39038824426;Ovestrion 2 mg comprimido
126786;@brasil75773023012;Neuleptil 10 mg/mL solução oral
126787;@brasil87714939948;Cloreto de Sódio 9 mg/mL solução para injeção 125 mL
126790;@brasil33350594292;Mircera 50 microgramas/0,3 mL solução para injeção
126791;@brasil11007732547;Dimorf LC 30 mg cápsula de liberação prolongada
126792;@brasil14284784733;Angipress Cd 25 mg + 12,5 mg comprimido
126793;@brasil29666336222;Ablok Plus 25 mg + 12,5 mg comprimido
126795;@brasil19002239882;Cetoprofeno 100 mg pó para suspensão para injeção
126796;@brasil95531876079;Artrinid 100 mg pó para suspensão para injeção
126797;@brasil30667356423;Profenid IV 100 mg pó para suspensão para injeção
126798;@brasil28607207412;Cetoprofeno 100 mg pó para suspensão para injeção
126799;@brasil15911431980;Sulfato de Hidroxicloroquina 400 mg comprimido
126800;@brasil18107847329;Plaquinol 400 mg comprimido
126801;@brasil88398877227;Reuquinol 400 mg comprimido
126802;@brasil67188221830;Oxsoralen 10 mg cápsula
126803;@brasil31183755631;Meritor 4 mg + 1.000 mg comprimido
126805;@brasil48537879877;Teflan 40 mg pó para solução para injeção
126806;@brasil73480438280;Metronidazol 100 mg/g + Nistatina 20.000 unidades internacionais/g creme vaginal
126807;@brasil64765638010;Flagyl Nistatina 100 mg/g + 20.000 unidades internacionais/g creme vaginal
126808;@brasil84447622222;Trinodazol Nistatina 100 mg/g + 20.000 unidades internacionais/g creme vaginal
126809;@brasil36539937467;Metronidazol 100 mg/g + Nistatina 20.000 unidades internacionais/g creme vaginal
126810;@brasil80601365476;Metronidazol 100 mg/g + Nistatina 20.000 unidades internacionais/g creme vaginal
126813;@brasil70839087033;Metronidazol 100 mg/g + Nistatina 20.000 unidades internacionais/g creme vaginal
126814;@brasil56932823381;Solucao de Manitol Equiplex 200 mg/ mL solução para injeção 500 mL
126815;@brasil13197424257;Pulmicort 0,25 mg/mL suspensão para inalação 2 mL
126816;@brasil87772471790;Paracetamol 100 mg/mL suspensão oral
126817;@brasil75948251015;Paracetamol 100 mg/mL suspensão oral
126818;@brasil48015351290;Cimegripe Bebê 100 mg/mL suspensão oral
126819;@brasil85532894023;Tylemax 100 mg/mL suspensão oral
126820;@brasil39804975944;Paracetamol 100 mg/mL suspensão oral
126822;@brasil77502864756;Paracetamol 100 mg/mL suspensão oral
126823;@brasil99079677212;Paracetamol 100 mg/mL suspensão oral
126824;@brasil98213653667;Paracetamol 100 mg/mL suspensão oral
126825;@brasil13557319693;Tyflen Bebê 100 mg/mL suspensão oral
126826;@brasil42048456715;Hynalgim 1 g/2 mL solução para injeção
126827;@brasil33219238229;Alivdip 1 g/2 mL solução para injeção
126828;@brasil16106995355;Santidor 1 g/2 mL solução para injeção
126830;@brasil63696905031;Termopirona 1 g/2 mL solução para injeção
126831;@brasil16616074471;Novalgina 1 g/2 mL solução para injeção
126833;@brasil19435713894;Mesacol 800 mg comprimido
126834;@brasil81776555071;Mesalazina 800 mg comprimido
126835;@brasil11774169021;Mesaneo 800 mg comprimido
126836;@brasil11671472325;Mesalazina 800 mg comprimido
126837;@brasil23500003882;Chron-Asa 5 800 mg comprimido
126838;@brasil62773577144;Mesalazina 800 mg comprimido
126839;@brasil56674881896;Mesalazina 800 mg comprimido
126840;@brasil16169043705;Lincoflan 300 mg/1 mL solução para injeção
126842;@brasil44471571741;Frademicina 300 mg/1 mL solução para injeção
126844;@brasil53937870203;Noex 50 microgramas/dose suspensão nasal
126845;@brasil70525707831;Busonid 50 microgramas/dose suspensão nasal
126846;@brasil51401889587;Benzoilmetronidazol 40 mg/mL suspensão oral
126847;@brasil52918025756;Benzoilmetronidazol 40 mg/mL suspensão oral
126848;@brasil22679205485;Polibiotic 40 mg/mL suspensão oral
126849;@brasil32490409433;Flagimax 40 mg/mL suspensão oral
126851;@brasil55294929147;Benzoilmetronidazol 40 mg/mL suspensão oral
126853;@brasil66642689906;Benzoilmetronidazol 40 mg/mL suspensão oral
126854;@brasil37178127543;Furp - Metronidazol 40 mg/mL suspensão oral
126856;@brasil97382497197;Perjeta 420 mg/14 mL solução para injeção
126857;@brasil54090795495;Solução Glicocloretada Basa 50 mg/mL + 9 mg/mL solução para injeção 1 L
126858;@brasil56702866817;Solução Glicofisiológica Sanobiol 50 mg/mL + 9 mg/mL solução para injeção 1 L
126859;@brasil48525441084;Solução Glicofisiológica 50 mg/mL + 9 mg/mL solução para injeção 1 L
126860;@brasil51710234974;Utrogestan 200 mg cápsula
126861;@brasil44717542748;Evocanil 200 mg cápsula
126863;@brasil85311437540;Sermion 30 mg comprimido
126864;@brasil47237508039;Clotrimazol 10 mg/g creme vaginal
126866;@brasil49899108033;Clotrimazol 10 mg/g creme vaginal
126867;@brasil41962744136;Clotrimazol 10 mg/g creme vaginal
126871;@brasil18936467007;Clotrimazol 10 mg/g creme vaginal
126873;@brasil85992966952;Clotrimazol 10 mg/g creme vaginal
126874;@brasil89457557712;Gino-Canesten 10 mg/g creme vaginal
126875;@brasil82066301150;Efedrin 50 mg/1 mL solução para injeção
126876;@brasil54705152599;Sulfato de Efedrina 50 mg/1 mL solução para injeção
126877;@brasil88604702489;Unifedrine 50 mg/1 mL solução para injeção
126878;@brasil49355367518;Diupress 5 mg + 25 mg comprimido
126879;@brasil83121704248;Dramin 100 mg comprimido
126880;@brasil69080120096;Adalat Oros 60 mg comprimido de liberação prolongada
126883;@brasil35541234724;Brometo de Pinaverio 50 mg comprimdo
126884;@brasil45774068902;Brometo de Pinaverio 50 mg comprimdo
126885;@brasil35485453267;Brometo de Pinaverio 50 mg comprimdo
126886;@brasil48470326190;Hepa-Merz 4 mg granulado
126887;@brasil29903772768;Atmos 5 mg + 10 mg cápsula
126888;@brasil56589892062;Sinergen 5 mg + 10 mg cápsula
126891;@brasil51390494307;Ossotrat-D 600 mg + 200 unidades internacionais comprimido
126892;@brasil56737201911;Osteofix 200 UIcomprimido
126893;@brasil83169997145;Calcium D3 600 mg + 200 unidades internacionais comprimido
126895;@brasil46029303621;Thianax 50 mg/g pomada
126897;@brasil44754022010;Micosbel 50 mg/g pomada
126898;@brasil34003485400;Tioabendazol 50 mg/g pomada
126899;@brasil85427566687;Thiabena 50 mg/g pomada
126900;@brasil67139938774;Foldan 50 mg/g pomada
126901;@brasil73316241456;Tiaplex 50 mg/g pomada
126903;@brasil99940712953;Tiadol 50 mg/g pomada
126904;@brasil62065273178;Hipertil 30 mg + 10 mg comprimido
126905;@brasil21329489234;Clo 75 mg comprimido de liberação prolongada
126906;@brasil43809055820;Ribavirin 250 mg cápsula
126907;@brasil93851708521;Ribavirina 250 mg cápsula
126909;@brasil96248655306;Maxsulid 400 mg comprimido
126910;@brasil87014892940;Duofilm Plantar 270 mg/g gel
126911;@brasil15938306147;Alenia 200 microgramas + 6 microgramas cápsula para inalação
126912;@brasil60304123405;Ventia 1.000 mg /50 mL solução para injeção
126913;@brasil29685597275;Kollagenase com Cloranfenicol 0,01 g/g + 0,6 unidades internacionais/g pomada
126914;@brasil78887747275;Iruxol 0,01 g/g + 0,6 unidades internacionais/g pomada
126915;@brasil25549239554;Amicored 1 mg/2 mL solução para injeção
126916;@brasil96873363136;Amicored 1 mg/2 mL solução para injeção
126918;@brasil91643403941;Ceflen 1 g pó para solução para injeção
126919;@brasil25555487335;Cefalotina Sódica 1 g pó para solução para injeção
126920;@brasil77565505617;Keflin Neutro 1 g pó para solução para injeção
126921;@brasil37162087101;Cefalotina Sódica 1 g pó para solução para injeção
126922;@brasil70996673877;Cefalotina Sódica 1 g pó para solução para injeção
126923;@brasil13245837918;Cefalotil 1 g pó para solução para injeção
126924;@brasil86374198234;Cefalotina Sodica 1 g pó para solução para injeção
126925;@brasil85304968144;Kefalomax 1 g pó para solução para injeção
126926;@brasil52674350069;Ebastel D 10 mg + 120 mg cápsula
126927;@brasil87994240402;Vascer 100 mg/5 mL solução para injeção
126930;@brasil25163023305;Vertizine D 3 mg + 10 mg comprimido
126931;@brasil92654271954;Bromoprida 10 mg/2 mL solução para injeção
126932;@brasil35979049975;Bromoprida 10 mg/2 mL solução para injeção
126933;@brasil47652213149;Digestina 10 mg/2 mL solução para injeção
126934;@brasil75621180255;Bromoprida 10 mg/2 mL solução para injeção
126935;@brasil56493241864;Digesan 10 mg/2 mL solução para injeção
126936;@brasil79011033552;Bromogex 10 mg/2 mL solução para injeção
126937;@brasil79274340790;Leucogen 80 mg cápsula
126938;@brasil64589623547;Etilefril 10 mg/1 mL solução para injeção
126940;@brasil58418654512;Teicoplanina 400 mg pó para solução para injeção
126941;@brasil93236520364;Toplanina 400 mg pó para solução para injeção
126942;@brasil98978377529;Koplan 400 mg pó para solução para injeção
126943;@brasil93826454994;Teicoplanina 400 mg pó para solução para injeção
126944;@brasil87140572320;Teiconin 400 mg pó para solução para injeção
126945;@brasil48621398701;Bravitan 2 mg comprimido
126946;@brasil27562423513;Endofolin 2 mg comprimido
126947;@brasil70865191924;Albocresil 18 mg/mL gel vaginal
126948;@brasil43044654735;L-Enema 160 mg/mL + 60 mg/mL enema
126950;@brasil27759850629;Anemifer 25 mg/mL solução oral
126951;@brasil39147972977;Fersil 25 mg/mL solução oral
126952;@brasil59500732082;Sulferbel 25 mg/mL solução oral
126953;@brasil33581467187;Lomfer 25 mg/mL solução oral
126954;@brasil17111097991;Stalevo 50 mg + 12,5 mg + 200 mg comprimido
126955;@brasil93316565637;Reforgan 250 mg comprimido
126956;@brasil23139069311;Nitrato de Oxiconazol 10 mg/mL solução
126957;@brasil66366429106;Oxipelle 10 mg/mL solução
126958;@brasil92345878407;Flucazol 100 mg cápsula
126959;@brasil13729833895;Zoltec 100 mg cápsula
126960;@brasil72501164956;Fluxilase 100 mg cápsula
126964;@brasil26653840479;Sepurin 120 mg + 20 mg comprimido
126965;@brasil16584161838;Acetato de Clostebol 5 mg/g + Sulfato de Neomicina 5 mg/g creme vaginal
126967;@brasil94059441981;Novaderm 5 mg/g + 5 mg/g creme vaginal
126968;@brasil64406213148;Trofodermin 5 mg/g + 5 mg/g creme
126969;@brasil11339042563;Trofodermin 5 mg/g + 5 mg/g creme vaginal
126970;@brasil93544112048;Naprix A 5 mg + 10 mg cápsula
126971;@brasil72968102082;Rohydorm 2 mg comprimido
126972;@brasil15814530702;Fosamax D 70 mg + 5.600 unidades internacionais comprimido
126973;@brasil58468416008;Hematom 10 mg/g + 10 mg/g + 50 mg/g gel
126974;@brasil85097696739;Bup 150 mg comprimido de liberação prolongada
126978;@brasil32127368582;Labirin 24 mg comprimido
126979;@brasil99846535945;Cloreto de Potássio 10 g/ 100 mL solução para injeção 10 mL
126980;@brasil30272646699;Glicose 50% solução para injeção 10 mL
126981;@brasil78998568879;Isofarma - Solução De Glicose 50%solução para injeção 10 mL
126982;@brasil95419132318;Solução de Glicose 500 mg/mL solução para injeção 10 mL
126984;@brasil69991076602;Cerezyme 400 unidades pó para solução para injeção
126985;@brasil49213942501;Miosan Caf 5 mg + 30 mg comprimido
126986;@brasil82038547073;Alfast 2,72 mg/5 mL solução para injeção
126987;@brasil58522727518;Rapifen 2.720 microgramas/5 mL solução para injeção
126988;@brasil54781232298;Tri-Luma 0,1 mg/g + 40 mg/g 0,5 mg/g creme
126989;@brasil57013489271;Triderm 0,1 mg/g + 40 mg/g 0,5 mg/g creme
126990;@brasil44407157837;Suavicid 0,1 mg/g + 40 mg/g 0,5 mg/g creme
126991;@brasil40179679237;Hidroquinona 40mg/g + Tretinoína 0,5 mg/g + Fluocinolona Acetonida 0,1 mg/g creme
126992;@brasil85010600690;Hormoskin 0,1 mg/g + 40 mg/g 0,5 mg/g creme
126993;@brasil47982739776;Hidroquinona 40mg/g + Tretinoína 0,5 mg/g + Fluocinolona Acetonida 0,1 mg/g creme
126994;@brasil19755127006;Trinulox 0,1 mg/g + 40 mg/g 0,5 mg/g creme
126995;@brasil74407805652;Hidroquinona 40mg/g + Tretinoína 0,5 mg/g + Fluocinolona Acetonida 0,1 mg/g creme
126996;@brasil77983961819;Fluocinolona Acetonida 0,1 mg/g + Hidroquinona 40mg/g + Tretinoína 0,5 mg/g creme
126997;@brasil84034553561;Dramin Capsgel 50 mg cápsula
126998;@brasil50999139673;Busonid Caps 200 microgramas cápsula para inalação
126999;@brasil97379040546;Miflonide 200 microgramas cápsula para inalação
127001;@brasil61899722428;Primid 100 mg comprimido
127002;@brasil99846379250;Atrovex 6,67 mg/mL + 333,4 mg/mL solução oral
127003;@brasil36650038849;Buscopan Composto 6,67 mg/mL + 333,4 mg/mL solução oral
127004;@brasil70340544603;Neocopan 6,67 mg/mL + 333,4 mg/mL solução oral
127005;@brasil65467224020;Brometo de N-Butil Escopolamina 6,67 mg/mL + Dipirona Sódica 333,4 mg/mL solução oral
127006;@brasil55985432287;Butilbrometo de Escopolamina 6,67 mg/mL + Dipirona Sódica 333,4 mg/mL solução oral
127007;@brasil38411285356;Butilbrometo de Escopolamina 6,67 mg/mL + Dipirona Sódica 333,4 mg/mL solução oral
127008;@brasil42190156229;Belspan 6,67 mg/mL + 333,4 mg/mL solução oral
127010;@brasil71348088624;Brometo de N-Butil Escopolamina 6,67 mg/mL + Dipirona Sódica 333,4 mg/mL solução oral
127011;@brasil33688658842;Dorspan Composto 6,67 mg/mL + 333,4 mg/mL solução oral
127013;@brasil48759694171;Buscoveran Composto 6,67 mg/mL + 333,4 mg/mL solução oral
127014;@brasil38528400329;Buscoplex Composto 6,67 mg/mL + 333,4 mg/mL solução oral
127015;@brasil97385567025;Artrodar 50 mg cápsula
127018;@brasil85275726002;Atmos 2,5 mg + 10 mg cápsula
127019;@brasil23331945885;Sinergen 2,5 mg + 10 mg cápsula
127020;@brasil76788463489;Tinidazol 30 mg/g + Nitrato de Miconazol 20 mg/g creme vaginal
127021;@brasil68555917554;Tinidazol 30 mg/g + Nitrato de Miconazol 20 mg/g creme vaginal
127022;@brasil89589408642;Gino-Colon 30 mg/g + 20 mg/g creme vaginal
127023;@brasil32584648061;Tinidazol 30 mg/g + Nitrato de Miconazol 20 mg/g creme vaginal
127025;@brasil80320061500;Tinidazol 30 mg/g + Nitrato de Miconazol 20 mg/g creme vaginal
127026;@brasil67668098150;Tinidazol 30 mg/g + Nitrato de Miconazol 20 mg/g creme vaginal
127027;@brasil74383545021;Gino Pletil 30 mg/g + 20 mg/g creme vaginal
127028;@brasil87747924402;Tinidazol 30 mg/g + Nitrato de Miconazol 20 mg/g creme vaginal
127029;@brasil63294241378;Trinizol-M 30 mg/g + 20 mg/g creme vaginal
127030;@brasil44460032865;Crevagin 30 mg/g + 20 mg/g creme vaginal
127031;@brasil32522515009;Dramin Capsgel 25 mg cápsula
127033;@brasil24700902665;Addera D3 7.000 unidades internacionais cápsula
127034;@brasil25503021783;Funed - Talidomida 100 mg comprimido
127035;@brasil84848380354;Cloridrato de Lercanidipino 20 mg comprimido
127036;@brasil51449113489;Zanidip 20 mg comprimido
127037;@brasil65315684062;Xeomin 100 unidades pó para solução para injeção
127038;@brasil62627542809;Prosigne 100 unidades pó para solução para injeção
127039;@brasil24578522817;Botulift 100 unidades pó para solução para injeção
127040;@brasil98324407773;Botox 100 unidades pó para solução para injeção
127041;@brasil26752843652;Duo-Travatan 0,04 mg/mL + 5 mg/mL solução oftálmica
127042;@brasil12852837878;Cubicin 500 mg pó para injeção
127043;@brasil75978618302;Champix 1 mg + 0,5 mg comprimido
127044;@brasil16323320594;Diovan Amlo Fix 10 mg + 160 mg comprimido
127046;@brasil53560493129;Cosartan Alp 5 mg + 80 mg comprimido
127047;@brasil46622317314;Diovan Amlo Fix 5 mg + 80 mg comprimido
127048;@brasil81515125545;Acesyl 100 mg/1 mL solução para injeção
127049;@brasil16020805003;Gentagran 3 mg/g pomada oftálmica
127050;@brasil55436603844;Rovamicina 1.500.000 unidades internacionais comprimido
127051;@brasil61859025706;Cisticid 500 mg comprimido
127052;@brasil67671923247;Cestox 150 mg comprimido
127054;@brasil24082189720;Cardioxane 500 mg pó para solução para injeção
127055;@brasil63067689124;Rivotril 2,5 mg/mL solução oral
127056;@brasil94331627271;Clonazepam 2,5 mg/mL solução oral
127057;@brasil11093538121;Clonazepam 2,5 mg/mL solução oral
127058;@brasil17562055225;Clonazepam 2,5 mg/mL solução oral
127059;@brasil74537715184;Clonazepam 2,5 mg/mL solução oral
127060;@brasil83990259459;Clonazepam 2,5 mg/mL solução oral
127062;@brasil71089682073;Clonazepam 2,5 mg/mL solução oral
127063;@brasil15233691028;Epileptil 2,5 mg/mL solução oral
127064;@brasil72292582769;Clonazepam 2,5 mg/mL solução oral
127065;@brasil43404419996;Clopam 2,5 mg/mL solução oral
127066;@brasil32846960195;Bepanmed 50 mg/g pomada
127067;@brasil31271487411;Depantex 50 mg/g pomada
127068;@brasil86599325137;Neopantol 50 mg/g pomada
127069;@brasil81472310902;Bepantriz 50 mg/g pomada
127070;@brasil45736032404;Dexprotenol 50 mg/g pomada
127072;@brasil67219046740;Pelletrat 50 mg/g pomada
127073;@brasil14598377722;Teupantol 50 mg/g pomada
127074;@brasil81641299880;Cicatenol 50 mg/g pomada
127075;@brasil74408110388;Acfol 5 mg/mL solução oral
127078;@brasil19106381414;Dimorf 10 mg/mL solução oral
127079;@brasil20634447217;Gardenal 40 mg/mL solução oral
127080;@brasil23155946726;Fenobarbital 40 mg/mL solução oral
127081;@brasil47953270350;Fenobarbital 40 mg/mL solução oral
127082;@brasil79657884228;Fenocris 40 mg/mL solução oral
127083;@brasil95261877902;Exelon Patch 9 mgadesivo transdérmico
127084;@brasil63022782946;Exelon Patch 18 mgadesivo transdérmico
127085;@brasil14196803519;Carbamazepina 20 mg/mL suspensão oral
127086;@brasil13640755365;Carbamazepina 20 mg/mL suspensão oral
127087;@brasil83459746811;Carbamazepina 20 mg/mL suspensão oral
127088;@brasil47849970102;Carbamazepina 20 mg/mL suspensão oral
127089;@brasil23580950722;Uni Carbamaz 20 mg/mL suspensão oral
127090;@brasil79516153314;Tegretol 20 mg/mL suspensão oral
127092;@brasil99491559925;Energil Zinco 1 g + 10 mg comprimido efervescente
127093;@brasil80266828382;Cebion Zinco 1 g + 10 mg comprimido efervescente
127094;@brasil14674437850;Dormire 2 mg/mL solução oral
127095;@brasil28046123841;Fosfato Sódico de Prednisolona 1 mg/mL solução oral
127096;@brasil48642620101;Redizol 1 mg/mL solução oral
127097;@brasil21550896308;Fosfato Sódico de Prednisolona 1 mg/mL solução oral
127098;@brasil54533910484;LFM - Pirazinamida 30 mg/mL suspensão oral
127100;@brasil39983088116;Galvus Met 50 mg + 1.000 mg comprimido
127102;@brasil56348560930;Loteprol 5 mg/mL suspensão oftálmica
127103;@brasil46453413385;Pradaxa 110 mg cápsula
127106;@brasil28928664713;Tobramicina 3 mg/mL solução oftálmica
127107;@brasil11473354686;Tobramicina 3 mg/mL solução oftálmica
127108;@brasil80812094105;Tobracin 3 mg/mL solução oftálmica
127109;@brasil88473033734;Tobramicina 3 mg/mL solução oftálmica
127111;@brasil67427950545;Tobranom 3 mg/mL solução oftálmica
127112;@brasil18411730795;Tobramicina 3 mg/mL solução oftálmica
127113;@brasil27319254766;Tobralox 3 mg/mL solução oftálmica
127114;@brasil39062311767;Tobrex 3 mg/mL solução oftálmica
127115;@brasil61562936893;Lacrilax 5 mg/mL solução oftálmica
127116;@brasil56826789968;Neo Fresh 5 mg/mL solução oftálmica
127117;@brasil36478991566;Ecofilm 5 mg/mL solução oftálmica
127118;@brasil16046091100;Fresh Tears 5 mg/mL solução oftálmica
127119;@brasil91284037510;Argix 500 mg comprimido
127120;@brasil42317531292;Bramitob 75 mg/mL solução para inalação 4 mL
127121;@brasil25234795930;Pamelor 2 mg/mL solução oral
127122;@brasil54369317210;Firazyr 30 mg/3 mL solução para injeção
127123;@brasil69616212992;Stelara 45 mg/0,5 mL solução para injeção
127124;@brasil64310778612;Sprycel 100 mg comprimido
127125;@brasil87123352605;Droperdal 2,5 mg/1 mL solução para injeção
127126;@brasil78242887569;Valdoxan 25 mg comprimido
127127;@brasil78804446945;Nevanac 1 mg/mL suspensão oftálmica
127128;@brasil89897732713;Rupafin 10 mg comprimido
127129;@brasil97810836558;Mozobil 24 mg/1,2 mL solução para injeção
127130;@brasil87787836693;Prezista 150 mg comprimido
127131;@brasil42514655349;Prezista 75 mg comprimido
127132;@brasil43277877166;Fenergan 50 mg/2 mL solução para injeção
127133;@brasil57196655647;Prometazol 50 mg/2 mL solução para injeção
127134;@brasil14852307337;Pamergan 50 mg/2 mL solução para injeção
127135;@brasil84407841770;Ilaris 150 mg pó para solução para injeção
127136;@brasil43097676687;Resolor 2 mg comprimido
127137;@brasil74428189916;Lumigan Rc 0,1 mg/mL solução oftálmica
127138;@brasil10706825513;Prolia 60 mg/1 mL solução para injeção
127139;@brasil25599922405;Osteofix 400 UIcomprimido
127140;@brasil38767940607;Oscal D 500 mg + 400 unidades internacionais comprimido
127141;@brasil13301934370;Simponi 50 mg/0,5 mL solução para injeção
127142;@brasil11303305616;Cloridrato de Ziprasidona 40 mg cápsula
127143;@brasil41273594033;LFM - Ziprasidona 40 mg cápsula
127144;@brasil42940847502;Cloridrato de Ziprasidona 40 mg cápsula
127145;@brasil74341971486;Cloridrato de Ziprasidona 40 mg cápsula
127146;@brasil54456795934;Geodon 40 mg cápsula
127147;@brasil15793335305;Vigamox 5 mg/mL solução oftálmica
127148;@brasil24495981781;Pradaxa 150 mg cápsula
127149;@brasil71079588101;Benlysta 400 mg pó para solução para injeção
127151;@brasil63800175560;Calcimec D3 1.500 mg + 400 unidades internacionais comprimido
127152;@brasil86218120348;Osteofix 400 UIcomprimido
127153;@brasil15244056424;Cloridrato de Ziprasidona 80 mg cápsula
127154;@brasil22900814884;LFM - Ziprasidona 80 mg cápsula
127155;@brasil61453531282;Cloridrato de Ziprasidona 80 mg cápsula
127156;@brasil92976945364;Cloridrato de Ziprasidona 80 mg cápsula
127157;@brasil59949680487;Geodon 80 mg cápsula
127158;@brasil43865419081;Fortéo Colter Pen 600 microgramas/2,4 mL solução para injeção
127159;@brasil19784880188;Zelboraf 240 mg comprimido
127160;@brasil88685430655;Adcetris 50 mg pó para solução para injeção
127161;@brasil54917403973;Dacogen 50 mg pó para solução para injeção
127162;@brasil96513357090;Dalacin C 300 mg cápsula
127163;@brasil68408329878;Anaerocid 300 mg cápsula
127165;@brasil27024776714;Cloridrato de Clindamicina 300 mg cápsula
127166;@brasil22468991482;Cloridrato de Clindamicina 300 mg cápsula
127167;@brasil82834366418;Clindamin - C 300 mg cápsula
127168;@brasil84191274611;Cloridrato de Clindamicina 300 mg cápsula
127169;@brasil31406586980;Cloridrato de Clindamicina 300 mg cápsula
127172;@brasil77462993887;Dimorf 2 mg/2 mL solução para injeção
127173;@brasil19191415571;Exelon Patch 27 mgadesivo transdérmico
127174;@brasil33487569700;Fresh Tears Liquigel 10 mg/mL solução oftálmica
127175;@brasil34699594203;Sovaldi 400 mg comprimido
127176;@brasil81066105353;Olysio 150 cápsula
127177;@brasil93652550813;Perivasc 450 mg + 50 mg comprimido
127178;@brasil74790779432;Venovaz 450 mg + 50 mg comprimido
127179;@brasil36572596725;Flavenos 450 mg + 50 mg comprimido
127181;@brasil37388601250;Venaflon 450 mg + 50 mg comprimido
127182;@brasil57248703390;Diosmin 450 mg + 50 mg comprimido
127183;@brasil26920295067;Daklinza 30 mg comprimido
127184;@brasil79748389966;Daklinza 60 mg comprimido
127185;@brasil72759555705;Levozine 100 mg comprimido
127186;@brasil81779547950;Neozine 100 mg comprimido
127189;@brasil20581813253;Hyperium 1 mg comprimido
127192;@brasil48034885386;Zyrtec 10 mg comprimido
127193;@brasil39108874342;Dicloridrato de Cetirizina 10 mg comprimido
127194;@brasil76969753930;Dicloridrato de Cetirizina 10 mg comprimido
127195;@brasil17458081706;Cetihexal 10 mg comprimido
127196;@brasil66229402160;Cloreto de Sódio 0,9% solução para injeção 10 mL
127197;@brasil54859540088;Isofarma - Solução de Cloreto de Sódio 9 mg/mL solução para injeção 10 mL
127198;@brasil23973006511;Cloreto de Sódio 9 mg/mL solução para injeção 10 mL
127200;@brasil92472297717;Cloridrato de Lidocaína 100 mg/5 mL solução para injeção
127201;@brasil91847882825;Xylestesin Isobárico 100 mg/5 mL solução para injeção
127202;@brasil50630209306;Kanakion 10 mg/1 mL solução para injeção
127203;@brasil27419554612;Kavit 10 mg/1 mL solução para injeção
127204;@brasil94683823310;Eskavit 10 mg/1 mL solução para injeção
127205;@brasil58700715390;Vita K 10 mg/1 mL solução para injeção
127206;@brasil10317831969;Vikatron 10 mg/1 mL solução para injeção
127207;@brasil56723794098;Tobrazol 75 mg/mL solução para inalação 4 mL
127208;@brasil53919948305;Tobramicina 75 mg/mL solução para inalação 4 mL
127209;@brasil49264246876;Tobi 75 mg/mL solução para inalação 4 mL
127210;@brasil63037175924;Tobi 75 mg/mL solução para inalação 4 mL
127211;@brasil53067112717;Volibris 10 mg comprimido
127212;@brasil48853266664;Sulfato de Magnésio Heptaidratado 500 mg/mL solução para injeção 10 mL
127213;@brasil90445188600;Isofarma - Solução de Sulfato de Magnésio 500 mg/mL solução para injeção 10 mL
127214;@brasil61432122999;Hypomagne 500 mg/mL solução para injeção 10 mL
127215;@brasil10291907352;Magnoston 500 mg/mL solução para injeção 10 mL
127216;@brasil71160281562;Halex Istar - Sulfato de Magnésio 500 mg/mL solução para injeção 10 mL
127217;@brasil24899922727;Sulfato de Magnésio Heptaidratado 100 mg/mL solução para injeção 10 mL
127218;@brasil41121325503;Sulfato de Magnésio 100 mg/mL solução para injeção 10 mL
127219;@brasil27222395282;Isofarma - Solução De Sulfato De Magnésio 100 mg/mL solução para injeção 10 mL
127220;@brasil99778438724;Magnoston 100 mg/mL solução para injeção 10 mL
127221;@brasil81684522535;Diclofenaco Sódico 1 mg/mL solução oftálmica
127222;@brasil62930687057;Still 1 mg/mL solução oftálmica
127223;@brasil96968830654;Bextra IM/IV 40 mg pó para solução para injeção
127224;@brasil18249436673;Paratram 37,5 mg + 325 mg comprimido
127225;@brasil21946025008;Ultracet 37,5 mg + 325 mg comprimido
127226;@brasil71768424008;Cloridrato de Tramadol 37,5 mg + Paracetamol 325 mg comprimido
127227;@brasil80242671050;Revange 37,5 mg + 325 mg comprimido
127228;@brasil82097114575;Cloridrato de Tramadol 37,5 mg + Paracetamol 325 mg comprimido
127229;@brasil16949346664;Noex 64 microgramas/dose suspensão nasal
127230;@brasil79212847498;Busonid 64 microgramas/dose suspensão nasal
127231;@brasil84201203222;Bortyz 3,5 mg pó para solução para injeção
